"","Sample","PC1","PC2","PC3","PC4","PC5","PC6","PC7","Population","Cohort","X1.x","X2.x","X1.y","X2.y"
"715","HG00232",-0.0165726690443218,-0.00382368720920285,-0.0088893505915467,0.00345159672926905,-0.0211787196872515,0.0269074360641723,0.00844166357363444,"GBR","EUR",2.06123938498795,-2.66732053452957,2.06123938498795,-2.66732053452957
"716","HG00233",-0.0165391650800082,-0.00184096496584081,-0.0129505527190951,0.00560509111793785,-0.0247576179430511,0.00234591023633251,-0.0226460339270447,"GBR","EUR",1.00404319658539,-3.65375360679557,1.00404319658539,-3.65375360679557
"717","HG00234",-0.0170097076003578,-0.00423753490661331,-0.00564283940667495,0.00133415899304399,-0.0258647433479245,0.025836646765527,0.000976150910868566,"GBR","EUR",2.36519912242718,-1.68264070536865,2.36519912242718,-1.68264070536865
"718","HG00235",-0.0168913005989084,-0.00209878413517285,-0.00618182740665194,0.00208545685255289,-0.026468152264705,0.0031835205878849,0.00725624141533129,"GBR","EUR",1.25612941291048,-1.86387261888829,1.25612941291048,-1.86387261888829
"719","HG00236",-0.0168675023392787,-0.00329345393723682,-0.0103484059731793,0.000207217866346375,-0.0195718085659906,-0.0251619992052618,-0.0266994305562011,"GBR","EUR",1.96909712675989,-3.2023988051481,1.96909712675989,-3.2023988051481
"720","HG00237",-0.0168429746363173,-0.00292268073585101,-0.00837634859189781,0.00119151962602672,-0.0209564874352062,-0.0252660518065834,-0.00385749584807837,"GBR","EUR",1.69710889008559,-2.52832681126106,1.69710889008559,-2.52832681126106
"721","HG00238",-0.0166650849957662,-0.00235596534977592,-0.00629146119517153,0.00640941775003201,-0.024436895020449,-0.00204291869692454,-0.0286201925405975,"GBR","EUR",1.36847891466574,-2.04435744487719,1.36847891466574,-2.04435744487719
"722","HG00239",-0.0169930032155913,-0.00269086738533381,-0.00471484073603812,0.00486150443810454,-0.0282727593273438,0.0239345502390673,0.0029433353723665,"GBR","EUR",1.59851779021917,-1.50359229448371,1.59851779021917,-1.50359229448371
"723","HG00240",-0.0168788251798703,-0.000877465634725415,-0.0144044656326642,0.00335474661121736,-0.0152514608740659,-0.0212168883084431,-0.0086175390313684,"GBR","EUR",0.612660423952117,-3.93284976228588,0.612660423952117,-3.93284976228588
"724","HG00242",-0.0170205866331687,-0.00130314263597333,-0.00930155240701875,0.0037505723421736,-0.0172775793296067,-0.000255661969085511,0.0314528780807472,"GBR","EUR",0.940193971828977,-2.74083338548314,0.940193971828977,-2.74083338548314
"725","HG00243",-0.0167073883631659,-0.00218666372376591,-0.00761534139844602,0.00775866256823585,-0.0196433177573454,7.69194404182933e-05,-0.0141863624366632,"GBR","EUR",1.24251907574769,-2.24350530525128,1.24251907574769,-2.24350530525128
"726","HG00244",-0.0168803720760098,-0.00273290934752701,-0.0117732825035767,0.00532350882779847,-0.0207833306876182,0.000840985351748454,0.00152404727466428,"GBR","EUR",1.56016696964883,-3.28006757798844,1.56016696964883,-3.28006757798844
"727","HG00245",-0.0169234571770152,-0.00438401279361696,-0.00817578174664265,0.00196837809266047,-0.0274861788256488,0.0270215686412901,-0.0110993786517878,"GBR","EUR",2.48826966391,-2.54010566504616,2.48826966391,-2.54010566504616
"728","HG00246",-0.0170200520449637,-0.00463066124166255,-0.00798821889543294,-0.00304038666068534,-0.0260252954248059,-0.00327912519082621,0.0267935112962786,"GBR","EUR",2.69284309447812,-2.57914985447611,2.69284309447812,-2.57914985447611
"729","HG00250",-0.0168836330335348,-0.00301308812672108,-0.0152243129534306,-0.00368735300547212,-0.017480735493986,-0.0236619645220748,0.00404275554875739,"GBR","EUR",1.81510180953542,-4.41559470658906,1.81510180953542,-4.41559470658906
"730","HG00251",-0.0168070121327009,-0.0042340788144442,-0.0118412869921728,0.00592639079201217,-0.0205630493341294,0.00175120412124999,0.0140312711346521,"GBR","EUR",2.36414071323394,-3.47099533816289,2.36414071323394,-3.47099533816289
"731","HG00252",-0.0170979962218768,-0.000845894235300641,-0.00753912285208485,0.00416733950542483,-0.0243026744136229,-0.00323705511029784,-0.000862376602876901,"GBR","EUR",0.646004262245153,-2.09955213812298,0.646004262245153,-2.09955213812298
"732","HG00253",-0.0167538453694066,-0.00246242587375604,-0.0119841668736281,0.000558643408480127,-0.0137814787116586,-0.0227739751487921,-0.0122195399174055,"GBR","EUR",1.43871144505052,-3.43874979911677,1.43871144505052,-3.43874979911677
"733","HG00254",-0.01702803046642,-0.00094634314363141,-0.0129889141304463,0.00210577916914226,-0.0186893035267888,0.000230450859239611,0.0310828673705137,"GBR","EUR",0.71984085841301,-3.60928494683203,0.71984085841301,-3.60928494683203
"734","HG00255",-0.0171062541070655,-0.00154928444237333,-0.00761169884109003,-0.00449175087713829,-0.020423310498168,-0.0231442851414127,-0.00230687166288015,"GBR","EUR",1.13692917785618,-2.37903495564152,1.13692917785618,-2.37903495564152
"735","HG00256",-0.0166199976088524,-0.00251638883769457,-0.014702775950324,-0.00272145791995327,-0.0227125574183263,0.00381018473707796,0.00241904299351533,"GBR","EUR",1.43610816957525,-4.2358322918682,1.43610816957525,-4.2358322918682
"736","HG00257",-0.0169254303213662,-0.00269857599441025,-0.0126755181683065,0.00263557906899677,-0.0208098503761185,0.0027904886822467,-0.0111350874807187,"GBR","EUR",1.56140766399597,-3.52124201995169,1.56140766399597,-3.52124201995169
"737","HG00258",-0.017011801400593,-0.0031177864678854,-0.010345798764824,0.00511056422113273,-0.0247615176559823,0.00134816574294113,-0.0079719681889598,"GBR","EUR",1.90273851571775,-3.15280273211962,1.90273851571775,-3.15280273211962
"738","HG00259",-0.0167086581718493,-0.00193736756779493,-0.0152157761383905,0.00572481829435706,-0.0172840244062194,-0.022389672348216,-6.44118385455909e-05,"GBR","EUR",1.18852103603625,-4.39534332569214,1.18852103603625,-4.39534332569214
"739","HG00260",-0.0166713509265724,-0.0024645582062035,-0.00798346218053198,0.00022418417748131,-0.0270764338139201,-0.00161687674723122,-0.00162575848938462,"GBR","EUR",1.39954137544,-2.43347007091484,1.39954137544,-2.43347007091484
"740","HG00261",-0.0168943864758989,-0.00528110302056278,-0.00607805521819707,-0.000733226362014139,-0.0184070530077204,-0.000559073941701455,-0.00912387668341565,"GBR","EUR",2.87235381250237,-1.80758559773563,2.87235381250237,-1.80758559773563
"741","HG00262",-0.016988035609117,-0.00450374068235179,-0.00582021155814042,0.00364749117230464,-0.0250643152911398,0.0245874915434425,0.00520760941463326,"GBR","EUR",2.52837408412375,-1.81520200342278,2.52837408412375,-1.81520200342278
"742","HG00263",-0.0167179731302603,-0.00577989943561479,-0.00495259004720747,0.00259546485006126,-0.0237404574343938,0.0278655828618806,0.00161100086330371,"GBR","EUR",3.17747885934671,-1.8222384801086,3.17747885934671,-1.8222384801086
"743","HG00264",-0.0165822947837363,-0.00248761130729059,-0.00664588944751956,0.00577831841315162,-0.0226546281941765,-9.74842050620879e-05,-0.023832460273659,"GBR","EUR",1.3072443659649,-1.90568030538475,1.3072443659649,-1.90568030538475
"744","HG00265",-0.0167760647900787,-0.00141491510591496,-0.00653186931646019,-0.00696379963636858,-0.0231762102554315,0.00356822650374711,-0.00201961560696857,"GBR","EUR",0.912501564765866,-2.03582524073464,0.912501564765866,-2.03582524073464
